year,bird.id.prefix,bird.id,species,sex,coll.date,jul.date,days.since.oct,easting,northing,site,time,wing,head.bill,culmen.length,culmen.width,tarsus,keel,body.length,body.mass,molt,molt.score,liver,ab.fat,heart,age,protein,lipid
2018,18DX,252,CITE,F,3/12/19,71,162,591483.5,4220664.5,Pond 12,7:35,195,85.21,40.93,16.87,31.2,77.47,324,424.3,NA,3,14.5656,6.3,5.1,A,45.1,45.6
2018,18DX,253,MALL,F,3/12/19,71,162,591483.5,4220664.5,Pond 12,7:42,270,109.55,52.02,22.43,42.35,108.16,476,1070.4,NA,3,24.2064,10.1,10,A,47.9,41.8
2018,18DX,254,AGWT,M,3/12/19,71,162,591483.5,4220664.5,Pond 12,7:10,190,80.1,35.65,13.61,29.44,71.02,310,343.1,NA,1,8.842,6.8,5,A,38.1,56.2
2018,18DX,255,NOPI,M,3/12/19,71,162,591483.5,4220664.5,Pond 12,7:00,271,109.39,53.14,18.74,40.84,103.69,494,904.2,NA,1,11.6297,26.5,11.6,A,37.6,54.7
2018,18DX,256,NSHO,M,3/12/19,71,162,591483.5,4220664.5,Pond 12,7:05,252,118.62,67.95,20.54,36.71,97.77,426,653.2,NA,3,16.4806,9.3,7.9,A,44.3,47.5
2018,18DX,257,MALL,F,3/5/19,64,155,583059,4225176,Joice D,10:05,275,100.54,54.94,22.32,43.46,117.66,470,1131.5,NA,3,29.7047,7.3,14.4,A,46.8,41.2
2018,18DX,258,MALL,M,3/5/19,64,155,583059,4225176,Joice D,8:40,303,116.9,56.38,22.81,46.08,112.18,511,1150.8,NA,1,32.6095,6.3,14.7,A,54.3,32
2018,18DX,259,NSHO,F,3/5/19,64,155,583059,4225176,Joice D,6:48,225,107.4,58.77,20.31,36.32,81.65,390,524.4,NA,3,19.7059,3.8,5.7,I,48.7,39.1
2018,18DX,260,NSHO,M,3/5/19,64,155,583059,4225176,Joice D,8:40,255,117.26,67.25,19.57,38.1,90,420,677.3,NA,3,20.2625,11.4,7.8,A,39.7,51.3
2018,18DX,261,MALL,M,3/5/19,64,155,583059,4225176,Joice D,10:05,298,115.07,52.93,22.74,43.79,109.96,506,1230.1,NA,1,36.9527,15.1,15.4,A,42.85,43.5
2018,18DX,262,NOPI,M,3/20/19,79,170,591483.5,4220664.5,Pond 12,6:58,271,111.11,52.83,19.18,42.48,100.11,500,920.5,NA,1,28.4053,21.7,11.6,A,37.7,52.1
2018,18DX,263,NOPI,M,3/20/19,79,170,591483.5,4220664.5,Pond 12,6:58,280,107.32,50.87,18.4,40.6,99.02,480,864.5,NA,1,24.7645,20.4,12.2,A,44.6,45.6
2018,18DX,264,GADW,F,3/20/19,79,170,591483.5,4220664.5,Pond 12,7:25,263,93.6,41.91,18.07,37.88,98.38,424,725.8,NA,3,16.0672,3.7,9.3,I,51,34.5
2018,18DX,265,GADW,M,3/20/19,79,170,591483.5,4220664.5,Pond 12,7:25,271,98.61,43.62,17.93,42.02,96.39,446,778.7,NA,3,15.5572,6.7,8.5,A,54.3,32.1
2018,18DX,266,CITE,M,3/20/19,79,170,591483.5,4220664.5,Pond 12,8:00,202,93.11,46.66,17.11,33.06,79.54,358,372.8,NA,1,8.0522,2.5,5.2,A,55.3,29.4
2018,18DX,267,MALL,F,3/12/19,71,162,591483.5,4220664.5,Pond 12,9:15,267,105.02,48.53,21.49,42.17,107.52,460,1042.4,NA,2,32.2507,7.4,14.4,I,35.8,53.3
2018,18DX,268,AGWT,M,3/12/19,71,162,591483.5,4220664.5,Pond 12,7:10,195,82.83,35.9,14.4,31.98,69.97,320,390.1,NA,1,11.1442,5.8,4.4,A,34.9,54.9
2018,18DX,269,CITE,F,3/20/19,79,170,591483.5,4220664.5,Pond 12,8:00,181,83.82,43.63,16.83,32.08,75.88,330,288.6,NA,1,8.3474,0.6,3.7,A,62.1,16.7
2018,18DX,270,CITE,M,3/20/19,79,170,591483.5,4220664.5,Pond 12,8:00,196,87.07,44.54,17.27,32.67,77.75,351,373.5,NA,1,11.5059,2.8,4.8,I,51.6,34.7
2018,18DX,271,NSHO,M,3/20/19,79,170,591710.14,4221196.41,Pond 12,7:35,250,116.72,65.77,19.14,37.85,94.45,NA,654.4,NA,3,22.5113,10.4,6.7,A,39.4,47.3
2018,18DX,272,CITE,M,3/12/19,71,162,591483.5,4220664.5,Pond 12,9:24,199,88.15,43.72,17.42,32.71,82.76,356,377,NA,2,11.2318,2.4,4.9,A,53.25,33.8
2018,18DX,273,AMWI,M,3/20/19,79,170,591710.14,4221196.41,Pond 12,6:50,260,87.12,35.01,18.45,39.41,94.11,410,732,NA,1,25.2856,10,7.9,I,49,38.3
2018,18DX,274,AGWT,F,3/20/19,79,170,592202.45,4221183.56,Pond 12,7:35,181,76.31,34.01,13.78,30.77,68.41,306,329.2,NA,3,11.5459,3.8,4.1,A,47,41.2
2018,18DX,275,CITE,F,3/20/19,79,170,592555.67,4220661.78,Pond 12,9:24,183,88.2,43.02,17.06,31.99,74.11,346,356.1,NA,2,15.0181,2.3,6.9,A,51,34.6
2018,18DX,279,MALL,F,3/20/19,79,170,591483.5,4220664.5,Pond 12,8:40,277,109.54,52.11,21.1,43.5,111.06,486,1080.8,NA,1,33.2329,9.7,17.2,A,49.4,38.7
2018,18DX,280,MALL,M,3/20/19,79,170,591483.5,4220664.5,Pond 12,9:00,300,119.92,58.17,23.41,45.31,111.89,522,1082.3,NA,1,20.3415,1.3,12.3,A,60.6,19.1
